"Gene";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"49";"ENSMUSG00000000282";931.141734543162;0.0389838510748835;0.183573247924584;0.831825185938787;0.983917801867708
"50";"ENSMUSG00000000290";148.833442735373;-0.0968477978076535;0.187102303273683;0.604723784387924;0.936622176561265
"51";"ENSMUSG00000000295";290.314493606752;-0.000810734602599392;0.0844319418233361;0.992338649711013;0.998825876142767
"52";"ENSMUSG00000000296";594.693100188808;0.0373140021112412;0.0877543734241159;0.670683885813036;0.955620589374493
"53";"ENSMUSG00000000301";43.1108174105329;-0.0518957570606627;0.373809535833673;0.889584953733815;0.989031108825595
"54";"ENSMUSG00000000303";6.9437487601196;-0.833446856920103;0.66795761791255;0.212121122202403;0.695559846301392
"55";"ENSMUSG00000000305";1554.99398309644;-0.0722937764511434;0.175949875809079;0.681162647685363;0.956536941078976
"56";"ENSMUSG00000000308";5332.17395932508;0.0785356272511511;0.0661832012754482;0.23536969101765;0.722726455161981
"57";"ENSMUSG00000000317";27.8226444909646;-0.145736440290229;0.24910927318809;0.558527431084187;0.921238467702956
"58";"ENSMUSG00000000318";5.38892143189696;-0.379852007806982;0.773046552407408;0.623164665728745;0.943517145416964
"59";"ENSMUSG00000000320";18.3238350317702;-0.318083986379499;0.283074978896793;0.261151361466757;0.748862396357861
"60";"ENSMUSG00000000325";597.932788194196;-0.288049044946125;0.149055110918764;0.0532977864016548;0.362822198113129
"61";"ENSMUSG00000000326";978.486497276736;0.20071781771908;0.0974380582035546;0.0394030367391565;0.304634560393328
"62";"ENSMUSG00000000339";1089.56658001731;0.231234663933461;0.0611553743547223;0.000156136136753479;0.0143695451177516
"63";"ENSMUSG00000000340";748.371977108958;0.0877365721291817;0.184319862961686;0.634073151258366;0.946387503657052
"64";"ENSMUSG00000000346";3895.06085989957;-0.0334030091118427;0.0702997536413432;0.634679239468618;0.946476142107991
"65";"ENSMUSG00000000355";886.27991302937;0.141043089266779;0.086656101003896;0.103605764405392;0.505236564130412
"66";"ENSMUSG00000000359";9.36896159846266;0.254872852214408;0.624392000102313;0.683131506603648;0.95704398442205
"67";"ENSMUSG00000000365";26.368359490544;0.262895152645309;0.367023875730542;0.473812938228721;0.885892279004035
"68";"ENSMUSG00000000374";3852.72663172547;0.082662495917345;0.0613746610976746;0.178028371156553;0.649338050723179
"69";"ENSMUSG00000000378";1399.44584675063;0.450737430654743;0.138347747411549;0.00112199064321358;0.0393079801270266
"70";"ENSMUSG00000000381";0.0388975340846851;-0.116647655641811;3.14795531460604;0.970441108735229;NA
"71";"ENSMUSG00000000384";612.224099274759;0.0593877455095722;0.108271634689524;0.583343849584718;0.929425048756602
"72";"ENSMUSG00000000385";2.3241259699827;-3.16702195574009;1.00663503176917;0.00165436736946212;NA
"73";"ENSMUSG00000000386";18.0382304716416;-0.187782144906349;0.30166876088733;0.533627653502711;0.914233445377685
"74";"ENSMUSG00000000392";62.8333895627787;-1.59650103959184;0.361349694762436;9.9544373789176e-06;0.00379480464949346
"75";"ENSMUSG00000000394";2.75312036697793;1.5780415596363;1.19754981680886;0.187595658941282;NA
"76";"ENSMUSG00000000399";2611.06022906724;0.0632009507912893;0.062282275586752;0.310224924234592;0.793373119786364
